algorithm,timing,ranks,repeat,stage,mean_seconds,max_seconds,calls_sum
balance,natural,2048,3,face_map_setup,0.00802575196337485,0.010141122999812069,2048
balance,natural,2048,3,face_pipeline_total,1.1242041743867277,1.826569728999857,2048
balance,natural,2048,3,local_volume_mesh,6.468832684542482,9.104431449999993,2048
balance,natural,2048,3,metis_partition,2.4408667566679734,2.4821866749998662,2048
balance,natural,2048,3,metis_seed,0.0008847406840821748,1.811948921000294,1
balance,natural,2048,3,part_face_create,0.025337778068848404,0.0515155129996856,2048
balance,natural,2048,3,partition_cost_balance,0.00011401081542961045,0.2334941499998422,1
balance,natural,2048,3,partition_cost_setup,0.00018561392138671806,0.3801373109999986,1
balance,natural,2048,3,partition_distribution,2.4395631694687507,2.4820831329998327,2048
balance,natural,2048,3,submesh_initialization,0.00024731871338024014,0.012359483999716758,2048
balance,natural,2048,3,surface_refine,0.007250108568356506,0.03449853099982647,2048
balance,natural,2048,3,vertex_count_allgather,2.844936350978516,5.507569275000151,2048
balance,natural,2048,3,vertex_exchange,0.02235042777246088,0.04468347099964376,2048
balance,natural,2048,3,vertex_exchange_prepare,0.0002994578725579178,0.0009176899998237786,2048
balance,natural,2048,3,vertex_exchange_unpack,0.006773133972664658,0.026949787999910768,2048
balance,natural,2048,3,vertex_numbering_local,0.039004318505866165,0.0905954719996771,2048
balance,natural,2048,3,volume_exchange_pack,0.5163557206972618,0.821976179000103,2048
balance,natural,2048,3,volume_exchange_unpack,0.5530629551967758,0.9500715369999853,2048
balance,natural,2048,3,volume_payload_exchange,0.03871126886425258,0.06374862399979975,2048
balance,natural,2048,3,volume_payload_prepare,0.004751080077147307,0.026660207000077207,2048
balance,natural,2048,3,volume_refine,1.6006616677583008,2.149451923000015,2048
balance,natural,2048,3,volume_size_exchange,0.3154721814365149,0.5423544919999586,2048
balance,natural,2048,4,adjacency_build,0.011103877130371309,0.04897285699962595,2048
balance,natural,2048,4,element_count_allgather,0.004159151248051218,0.00510156200016354,2048
balance,natural,2048,4,face_allgatherv,0.8332690287915085,1.5306001320000178,2048
balance,natural,2048,4,face_collective_setup,0.00017612643261744054,0.0008507500001542212,2048
balance,natural,2048,4,face_global_merge,0.08927921076220979,0.12057421700001214,2048
balance,natural,2048,4,face_local_extract,0.17351770760547236,0.18652074900001026,2048
balance,natural,2048,4,face_map_setup,0.00800390420849717,0.010344105000058335,2048
balance,natural,2048,4,face_pipeline_total,1.1089492340957066,1.7993076430002475,2048
balance,natural,2048,4,local_volume_mesh,6.468206613164053,9.081626314999994,2048
balance,natural,2048,4,metis_partition,2.3136803938945314,2.3147519789999933,2048
balance,natural,2048,4,metis_seed,0.0008213380092771949,1.6821002429996952,1
balance,natural,2048,4,part_face_create,0.025337632018057166,0.04533586800016565,2048
balance,natural,2048,4,partition_cost_balance,0.00011427991113288627,0.23404525800015108,1
balance,natural,2048,4,partition_cost_setup,0.00018840196630875994,0.38584722700034035,1
balance,natural,2048,4,partition_distribution,2.3123777691503915,2.314681864999784,2048
balance,natural,2048,4,submesh_initialization,0.00024342529198806417,0.019815215999642533,2048
balance,natural,2048,4,surface_refine,0.007222131398434639,0.019824914000309946,2048
balance,natural,2048,4,vertex_count_allgather,2.866619159455076,5.443004119999841,2048
balance,natural,2048,4,vertex_exchange,0.02237440287158754,0.03599470000017391,2048
balance,natural,2048,4,vertex_exchange_prepare,0.0003000575288079066,0.0009624939998502668,2048
balance,natural,2048,4,vertex_exchange_unpack,0.006672385071286202,0.024016091000248707,2048
balance,natural,2048,4,vertex_numbering_local,0.03888792226366644,0.07677626099984991,2048
balance,natural,2048,4,volume_exchange_pack,0.515288228983888,0.7681051210001897,2048
balance,natural,2048,4,volume_exchange_unpack,0.5530631404335946,0.9446242270000766,2048
balance,natural,2048,4,volume_payload_exchange,0.03868223071826615,0.07356802000003881,2048
balance,natural,2048,4,volume_payload_prepare,0.004809023810548929,0.038550937000309204,2048
balance,natural,2048,4,volume_refine,1.6025036950278257,2.1179454360003547,2048
balance,natural,2048,4,volume_size_exchange,0.2649596861547814,0.5096008900000015,2048
balance,natural,2048,5,adjacency_build,0.011005303693841562,0.020970624000256066,2048
balance,natural,2048,5,element_count_allgather,0.0017529208417981224,0.00471783900002265,2048
