algorithm,timing,ranks,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,speedup_vs_baseline
baseline,natural,4096,5,15.340225688999908,0.007954101852971398,3.0395096399997783,2.7621505059996707,,1.482000907380506,1.6539991294710623,2799585280,19900160280,0.2270542425770661,,20315,20315,0,1.0
baseline,natural,8192,5,18.443606891999934,0.003939990586624346,6.633001009999987,6.358351352999989,,1.5180705738440816,2.4651436516174496,3225937920,39805180184,0.1625383459586319,,27897,27897,0,1.0
baseline,split,1024,5,20.57062283799999,0.009712162223350427,1.000768149999658,0.6977425569998559,7.238922133999949,1.345873379594483,1.5627617242158485,2413166080,4971395352,0.6479769471578611,-0.9887865297251706,10873,10873,0,1.0
baseline,split,2048,5,15.752439378999952,0.005487721333687465,1.8298840949998976,1.5176603780000733,5.5842713270003514,1.2984025049093049,1.55136143553302,2552900608,9947650328,0.4185503463393603,-0.8125089215015843,14861,14861,0,1.0
baseline,split,4096,5,15.62444320900022,0.006362834044566467,3.135982736999992,2.7761284729999716,6.593460741999934,1.4838246434818092,1.6539991294710623,2799585280,19900160280,0.22714865378952806,-0.5004801624902576,20315,20315,0,1.0
baseline,split,8192,5,18.526702701999966,0.005733545650086731,6.664755553999839,6.336631218000093,10.960219875000007,1.5146178628310338,2.4651436516174496,3225937920,39805180184,0.16260088199935835,-0.2786693863928041,27897,27897,0,1.0
combined,natural,1024,5,20.038911325000072,0.005090938897975624,0.46611658200026795,0.2346789160001208,,1.3132009349767235,1.5382336711381377,2408699904,22004584,0.5221901207934333,,10873,11416,1605,1.0244548639919453
combined,natural,2048,5,15.829646180000054,0.006725498806290607,0.46330435699996997,0.2563677660000394,,1.3547774750311736,1.6171578699544105,2568338944,29318912,0.3683730700081177,,14861,15604,1901,0.9976597708767929
combined,natural,4096,5,14.081659839000167,0.1381271757039766,0.691248609000013,0.4151162680000198,,1.404410113309641,1.8895403639384596,2820190208,42858200,0.186840848506082,,20315,21330,2539,1.0893762428853773
combined,natural,8192,5,12.992100533000212,0.0004819903540081178,0.6175728059999983,0.3367538820000391,,1.4381497393220066,2.1635061817114876,3231747072,67358592,0.12433971929231319,,27897,28402,2204,1.4196016144697141
combined,split,1024,5,20.022170297999992,0.006133153463350832,0.43831003600007534,0.23048235499982184,6.248979591000079,1.3051172389668741,1.5382336711381377,2408699904,22004584,0.5239975849146403,-0.99999968758876,10873,11416,1605,1.02739226226913
combined,split,2048,5,15.985808127000382,0.005620938827477337,0.542150615999617,0.2732419359999767,5.033404976999918,1.3620029171838315,1.6171578699544105,2568338944,29318912,0.3682509300676671,-0.9999994520209703,14861,15604,1901,0.9854015045003408
combined,split,4096,5,14.193031889000011,0.012660400049680063,0.744287247999992,0.3879621599999865,5.045629156999894,1.4105616782377401,1.8895403639384596,2820190208,42858200,0.1851408271312398,-0.9999882519127007,20315,21330,2539,1.1008531039171123
combined,split,8192,5,13.051930751999862,0.006292312052763731,0.6490834470000664,0.3255181240001548,6.607280459000322,1.4384181631444595,2.1635061817114876,3231747072,67358592,0.12338989710671266,-0.9999992154733909,27897,28402,2204,1.4194606954347533
sparse,natural,1024,5,20.238275771999724,0.006548563936965064,0.5076286909998089,0.2637135899999521,,1.3503235346766238,1.5627617242158485,2413166080,21260960,0.6485070293864219,,10873,10873,0,1.0143631012480838
sparse,natural,2048,5,14.987138293000044,0.005061209563777314,0.4733076039997286,0.25730221699996036,,1.2951803824396495,1.55136143553302,2552900608,28109144,0.4177867594468899,,14861,14861,0,1.0537436081693938
sparse,natural,4096,5,14.212076618000083,0.007215683566339029,0.649116936000155,0.3465751280000404,,1.481813782415243,1.6539991294710623,2799585280,40708528,0.22766354701681574,,20315,20315,0,1.0793796080138625
sparse,natural,8192,5,13.208285740999997,0.006927200613939368,0.6112618049996854,0.34412915200002203,,1.51546149298886,2.4651436516174496,3225937920,65856952,0.16349696526374927,,27897,27897,0,1.3963664364671422
sparse,split,1024,5,20.281238132,0.008417454565990329,0.5240268450002077,0.2418237719998615,7.286776192999923,1.3601298575982157,1.5627617242158485,2413166080,21260960,0.6482268353872456,-0.9999998533363222,10873,10873,0,1.0142685916962535
sparse,split,2048,5,14.912028428999747,0.004646326052885325,0.5258990120000817,0.26723283299998,5.1066394930001024,1.2916284776802291,1.55136143553302,2552900608,28109144,0.41727526561228323,-0.9999995662468972,14861,14861,0,1.0563579230016649
sparse,split,4096,5,14.321549753,0.00961982153043388,0.7311305690000154,0.342960223000091,5.438416912000093,1.4741184656449897,1.6539991294710623,2799585280,40708528,0.22715146622325666,-0.999987648551729,20315,20315,0,1.0909743343751814
