algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves
combined,split,2048,4,15.985808127000382,0.542150615999617,0.2732419359999767,5.0225182560002395,1.3620029171838315,1.6171578699544105,2568338944,29318912,0.3682509300676671,-0.9999994520209703,14861,15604,1901
combined,split,2048,5,16.067841692000002,0.5739849030001096,0.2837856340001963,5.362603874999877,1.371639846622009,1.6171578699544105,2568338944,29318912,0.367869670883177,-0.9999840123632497,14861,15604,1901
sparse,natural,2048,1,14.987138293000044,0.4602532130002146,0.2582434190001095,,1.2951803824396495,1.55136143553302,2552900608,28109144,0.41758684507510585,,14861,14861,0
sparse,natural,2048,2,14.898165881000068,0.5255115610000303,0.25601572799996575,,1.2909893423945402,1.55136143553302,2552900608,28109144,0.4174161523128654,,14861,14861,0
sparse,natural,2048,3,15.095840105000207,0.4733076039997286,0.25730221699996036,,1.2854236006634545,1.55136143553302,2552900608,28109144,0.4177867594468899,,14861,14861,0
sparse,natural,2048,4,15.006935038999927,0.49668039700009103,0.28666876499937644,,1.2981954602537744,1.55136143553302,2552900608,28109144,0.41951836596001296,,14861,14861,0
sparse,natural,2048,5,14.933063812,0.461250451000069,0.2570787719996588,,1.2969963924636263,1.55136143553302,2552900608,28109144,0.4186189690709801,,14861,14861,0
sparse,split,2048,1,15.065958407000153,0.5441234349998467,0.2672730999997839,5.1066394930001024,1.2935531838209418,1.55136143553302,2552900608,28109144,0.4180145270480554,-0.9999996600030022,14861,14861,0
sparse,split,2048,2,14.912028428999747,0.567845731000034,0.28276414600031785,5.212633246999758,1.2908170071137013,1.55136143553302,2552900608,28109144,0.416391654446067,-0.9999961775765269,14861,14861,0
sparse,split,2048,3,14.90637102599976,0.4702186130002701,0.255672553000295,5.198064674999841,1.2891468725260808,1.55136143553302,2552900608,28109144,0.41727526561228323,-0.9999998374613167,14861,14861,0
sparse,split,2048,4,14.980485493999822,0.5258990120000817,0.26723283299998,5.074264217999826,1.2916284776802291,1.55136143553302,2552900608,28109144,0.419120075665657,-0.9999995662468972,14861,14861,0
sparse,split,2048,5,14.90873805900037,0.5007211430001917,0.2572434029998476,5.017879254000036,1.2949110249805185,1.55136143553302,2552900608,28109144,0.41722660758888863,-0.9999970374002767,14861,14861,0
balance,natural,4096,1,15.608587300000181,3.0936622279998574,2.8060560240000996,,1.4009401935125971,1.8895403639384596,2820190208,19900160280,0.186645030980285,,20315,21330,2539
balance,natural,4096,2,15.780679067000165,3.1399915860001784,2.8675501170000643,,1.4124207185595719,1.8895403639384596,2820190208,19900160280,0.18390511892433853,,20315,21330,2539
balance,natural,4096,3,15.596313137999914,3.064005027999883,2.785819662999984,,1.4088460346552023,1.8895403639384596,2820190208,19900160280,0.18575326684543775,,20315,21330,2539
balance,natural,4096,4,15.671427387999756,3.0869707550000385,2.811023600000226,,1.4127707100381397,1.8895403639384596,2820190208,19900160280,0.1851507889630818,,20315,21330,2539
balance,natural,4096,5,15.859733314000096,3.1049424210000325,2.8224973209999007,,1.4086251205445417,1.8895403639384596,2820190208,19900160280,0.1849350998906657,,20315,21330,2539
balance,split,4096,1,16.035711740999886,3.1090880599999764,2.7939801810000517,6.7796513450000475,1.4028288339042414,1.8895403639384596,2820190208,19900160280,0.1868778190385699,-0.5158590247662178,20315,21330,2539
balance,split,4096,2,16.11193575499965,3.2208796290001374,2.836254358000133,6.730334173000301,1.4121891281092862,1.8895403639384596,2820190208,19900160280,0.18539824702478408,-0.5111936102882743,20315,21330,2539
balance,split,4096,3,15.81883840799992,3.0237882890000947,2.705234864000431,6.846310201000051,1.3970483608549553,1.8895403639384596,2820190208,19900160280,0.18451757231884666,-0.5173670285820546,20315,21330,2539
balance,split,4096,4,15.877506894999897,3.132047744999909,2.7896456210000906,6.886864469999637,1.410784285204111,1.8895403639384596,2820190208,19900160280,0.18694243132380056,-0.5150794321969858,20315,21330,2539
balance,split,4096,5,15.753631376000158,3.1468887429996357,2.7890446330002305,6.764976115000081,1.4080244262120778,1.8895403639384596,2820190208,19900160280,0.1860421430214751,-0.5127233071336921,20315,21330,2539
baseline,natural,4096,1,15.45935505600005,3.0763054619999366,2.802048250000098,,1.4885664659405495,1.6539991294710623,2799585280,19900160280,0.2270542425770661,,20315,20315,0
baseline,natural,4096,2,15.527743126000132,3.0810347360002197,2.8127686240000003,,1.482000907380506,1.6539991294710623,2799585280,19900160280,0.22851860400083235,,20315,20315,0
baseline,natural,4096,3,15.340225688999908,3.0395096399997783,2.7621505059996707,,1.4840084906912245,1.6539991294710623,2799585280,19900160280,0.2266650344582198,,20315,20315,0
baseline,natural,4096,4,15.242761408000206,2.978363862000151,2.7018616790001033,,1.4810728895006184,1.6539991294710623,2799585280,19900160280,0.22646083860359478,,20315,20315,0
baseline,natural,4096,5,15.27078419999998,3.0084269289995973,2.737459742000283,,1.4790436256756772,1.6539991294710623,2799585280,19900160280,0.2279177017262329,,20315,20315,0
baseline,split,4096,1,15.487102993000008,3.0222083490000387,2.7128462660000423,6.46448167199992,1.4816643411156554,1.6539991294710623,2799585280,19900160280,0.22560265507438446,-0.5036169902686388,20315,20315,0
baseline,split,4096,2,15.48396136800011,3.1318299539998407,2.7907723490002354,6.55407844299998,1.4883495491979646,1.6539991294710623,2799585280,19900160280,0.22899944004576978,-0.4962564256066897,20315,20315,0
