algorithm,timing,ranks,partition_seed,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,seed_lower_seconds,candidate_upper_seconds,net_gain_lower_seconds,correction_seconds,search_timed_out,search_skipped,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
sparse,natural,4096,41,2,14.319113540000217,0.7739515430002939,0.5292374049995487,,1.5179173959393566,1.6539991294710623,2799585280,40708528,0.18284871153589372,,20315,20315,0,9.787902910999492,6.448244770883788,,0.03950541599988355,5.807685020000008,9.788923301000068,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.495380614000169,0.4010910199999671,0.039145915000062814,0.020758226999987528,,8.950787913999648,,1.2374047049997898,,0.040228775999821664,
sparse,natural,4096,41,3,14.414722326000174,0.896252142999856,0.6042674300001636,,1.5293295391973059,1.6539991294710623,2799585280,40708528,0.18736669445665138,,20315,20315,0,9.862284110000019,6.448763237239505,,0.06290274799994222,5.670956936000039,9.863383779999822,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5383551019999686,0.3966078500002368,0.03929085699974166,0.03388657500045156,,9.033857541000089,,1.2408706119999806,,0.05602780699973664,
sparse,natural,8192,-1,1,13.584166943000128,0.8548966809999001,0.3631141259998003,,1.5320371793260674,2.4651436516174496,3225937920,65856952,0.17305651324282445,,27897,27897,0,9.025325072999749,5.891061388581919,,0.06481970700042439,6.0205099439999685,9.025975179999932,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999370185999851,0.3979829590002737,0.041031701999600045,0.033215087999906245,,8.531775424999978,,0.8297064759999557,,0.03676061999931335,
sparse,natural,8192,-1,2,13.484172405000209,0.8059316409999155,0.39372764800009463,,1.5092449461208859,2.4651436516174496,3225937920,65856952,0.17266159534040637,,27897,27897,0,8.886758349000047,5.888214747275519,,0.04794615300033911,5.915810166000028,8.887306218000049,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0592225380000855,0.39565945200001806,0.04084104000003208,0.025966871000036917,,8.097272931000134,,0.874673969000014,,0.03716196499954094,
sparse,natural,8192,-1,3,13.47668758699956,0.8300367910001114,0.35358091499983857,,1.5193502279402151,2.4651436516174496,3225937920,65856952,0.17279452059277914,,27897,27897,0,8.94763389299942,5.889118735401605,,0.04487164700003632,6.041722292999566,8.948225462999744,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.989108462999866,0.3993684760002907,0.04080690000000686,0.03823201599971071,,8.152950357999998,,0.8163955790000728,,0.03374542399978964,
sparse,natural,8192,17,1,13.506502636000278,0.9104571200000464,0.37195743699976447,,1.5085419430465157,2.4651436516174496,3225937920,65856952,0.17316032596329436,,27897,27897,0,8.88353170099981,5.888819824962526,,0.05481292399963422,5.953199445999871,8.884065249999821,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009125359000336,0.38988632400014467,0.040805579999869224,0.03603955400058112,,8.092438578999918,,0.8156911849996504,,0.03297112099971855,
sparse,natural,8192,17,2,14.097303464000106,1.3820852029998605,0.8733529739997721,,1.5145903351971566,2.4651436516174496,3225937920,65856952,0.1730191886802284,,27897,27897,0,8.922445240001252,5.890995758163084,,0.07922739900004672,6.011649183999907,8.922985806999804,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009369402000175,0.3925544959997751,0.04091566099987176,0.0402787839998382,,8.143051611000374,,0.8296647910001411,,0.040333662000193726,
sparse,natural,8192,17,3,13.465964841000186,0.8344789929997205,0.36605654400000276,,1.5054887134345527,2.4651436516174496,3225937920,65856952,0.17513754398159997,,27897,27897,0,8.868631120999453,5.890865233235104,,0.05114417100003266,5.944036356000197,8.869184228999984,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.019532969000011,0.39113935799969113,0.04149874799986719,0.04612404499948752,,8.078286188999755,,0.8421680870001182,,0.03626081599986719,
sparse,natural,8192,41,1,13.414882965999823,0.7325806419999026,0.35267319600006886,,1.5124022402366617,2.4651436516174496,3225937920,65856952,0.17280674207856792,,27897,27897,0,8.905621509999946,5.8883948152618375,,0.0445962500002679,6.064833809999982,8.906189037999866,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.989487227999689,0.3918264469998576,0.0414219869999215,0.04157649299986588,,8.474560180000026,,0.8334052230002271,,0.05274565199988501,
sparse,natural,8192,41,2,13.364562572000068,0.8181304179997824,0.3653341599997475,,1.5028381394257908,2.4651436516174496,3225937920,65856952,0.17602977088409918,,27897,27897,0,8.855561707000106,5.892558536199825,,0.05163953700002821,5.934345732000111,8.856152974999986,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9893462660002115,0.3947741019997011,0.040821279999818216,0.03457871399996293,,8.066128208999999,,0.869786030999876,,0.0368197190000501,
