algorithm,timing,ranks,partition_seed,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,task_count,task_signature,active_workers,compute_max_seconds,compute_mean_seconds,task_cross_node_faces_before,task_cross_node_faces_after,task_cross_node_faces_limit,task_moved_between_nodes,task_completion_wait_max_seconds,task_dispatch_max_seconds,task_geometry_setup_max_seconds,task_merge_max_seconds,metis_partition_max_seconds,task_control_receive_bytes
baseline,natural,4096,41,1,36.83502309800042,3.2664750700000695,3.148706885000138,,1.293044952767254,1.8439787003630983,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,27.791918709999663,21.49338942201661,25319,25319,27850,0,21.364074691999576,1.4000217900002099,0.4951543219999621,0.02068940700019084,3.0274347649997253,1342914508
baseline,natural,4096,41,2,36.69876713000008,3.2360919449999983,3.1167411720000473,,1.2931048496087048,1.8439787003630983,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,27.79201195500002,21.49246595387058,25319,25319,27850,0,21.138425446999918,1.285519301000022,0.4992008159999841,0.01122794699995211,3.0005864019999535,1342914508
baseline,natural,4096,41,3,36.65179302399997,3.247533945999976,3.1291362460001437,,1.2943823843040325,1.8439787003630983,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,27.824146147999954,21.496079122677898,25319,25319,27850,0,21.42626356200003,1.2608043929997166,0.5189379720000034,0.010523086999910447,3.121747986999935,1342914508
baseline,natural,4096,41,4,36.52502993500002,3.2467602350000107,3.1261991090000265,,1.295260665115566,1.8439787003630983,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,27.839674401000366,21.493491735515992,25319,25319,27850,0,21.032239381999943,1.2111369649999233,0.501112705999958,0.03607472099997722,2.9518608920000133,1342914508
baseline,natural,4096,41,5,36.86848089299974,3.299166479000178,3.1777702039998985,,1.300987435430148,1.8439787003630983,3718962176,19900160280,,,0,0,0,16384,4af0a68226382bca,4095,27.95146956699955,21.48481131007841,25319,25319,27850,0,21.052861508000206,1.3517256479995012,0.4727977680004187,0.021988789000261022,3.1115675060000285,1342914508
baseline,split,4096,41,1,36.48543606700002,3.2305228750000197,3.105996853000022,4.4704682910000315,1.2887275547727495,1.8439787003630983,3718962176,19900160280,,-0.11617235456615245,0,0,0,16384,4af0a68226382bca,4095,27.69478190800004,21.49002076151282,25319,25319,27850,0,20.92383449900001,1.2053211969999893,0.4714277319999951,0.010558501000048182,3.023667684999964,1342914508
baseline,split,4096,41,2,36.706511901,3.311276027999952,3.150603343999933,4.465337838999972,1.2873189739892794,1.8439787003630983,3718962176,19900160280,,-0.11284519198015544,0,0,0,16384,4af0a68226382bca,4095,27.66806167399966,21.49277858327448,25319,25319,27850,0,21.112366103,1.2986322889997837,0.46774893899998915,0.027173188999995546,2.959494966999955,1342914508
baseline,split,4096,41,3,37.16919765500006,3.2907318619998023,3.164697081000213,4.555021815999908,1.3008277245396078,1.8439787003630983,3718962176,19900160280,,-0.11687116086512175,0,0,0,16384,4af0a68226382bca,4095,27.969638233000296,21.50141614094163,25319,25319,27850,0,21.81517373099996,1.3475832450001235,0.4803662589999931,0.032016159000022526,3.0186065970001437,1342914508
baseline,split,4096,41,4,36.91363209399992,3.3002104869999584,3.145950992000053,4.507355677000078,1.3047477983617166,1.8439787003630983,3718962176,19900160280,,-0.11223688936909686,0,0,0,16384,4af0a68226382bca,4095,28.041608648999954,21.49197621502784,25319,25319,27850,0,21.19031419199996,1.1923622180001985,0.4691517619999104,0.03636089499991613,3.094540586999983,1342914508
baseline,split,4096,41,5,36.529524175999995,3.307171344999915,3.1585926899997503,4.496760571999857,1.2984142988275822,1.8439787003630983,3718962176,19900160280,,-0.1095460962644033,0,0,0,16384,4af0a68226382bca,4095,27.901572566999675,21.48895971970866,25319,25319,27850,0,21.024080844999844,1.3039642900002946,0.4315472029998091,0.020687605000148324,3.0439467609999156,1342914508
combined,natural,4096,41,1,49.82499062199986,0.4439490609997847,0.33023119200061046,,1.982408945577617,2.3548792210141585,3718962176,65249296,,,0,0,0,16384,4af0a68226382bca,4095,42.659694474999014,21.519119236303286,25319,27850,27850,2739,35.495050926000204,0.19951169399973878,0.43628998100030003,0.018400015000224812,2.9825521630000367,1342914508
combined,natural,4096,41,2,43.84355449999998,0.3446949629999949,0.31059595799996487,,1.7268033415670292,2.118037920050091,3718962176,65229136,,,0,0,0,16384,4af0a68226382bca,4095,37.163665089999654,21.52165460617802,25319,27850,27850,2735,29.920745296999996,0.18968902899996465,0.4804139809999697,0.017363880999994308,3.077742124999986,1342914508
combined,natural,4096,41,3,46.222337911999944,0.3375327339999785,0.3037961150002957,,1.8397800356853702,2.1422859580059357,3718962176,65238152,,,0,0,0,16384,4af0a68226382bca,4095,39.593240977000505,21.52063845080855,25319,27850,27850,2745,31.96839392200002,0.22902555099972233,0.5184781210000438,0.01584789899993666,3.091478473000052,1342914508
combined,natural,4096,41,4,44.45908620400019,0.41705399100010254,0.30968573700010893,,1.7516937774319754,2.1530002073352628,3718962176,65221464,,,0,0,0,16384,4af0a68226382bca,4095,37.72407978499973,21.535773130566305,25319,27850,27850,2758,30.538695852000046,0.18729577300041456,0.4714862719999928,0.019839886999989176,3.037637408000137,1342914508
combined,natural,4096,41,5,44.800368837000406,0.4462863579997247,0.34912131399960344,,1.7219873459791346,2.1659700881023425,3718962176,65219112,,,0,0,0,16384,4af0a68226382bca,4095,37.074567010998635,21.53010421218732,25319,27850,27850,2710,30.26540569000008,0.1975623150001411,0.48945884899967496,0.027858831999765243,3.024671300999671,1342914508
combined,split,4096,41,1,44.24225387499999,0.36538455100003375,0.3053480780000086,2.210330451999994,1.7436651126618807,2.1321356165360474,3718962176,65204328,,-0.8715020439887443,0,0,0,16384,4af0a68226382bca,4095,37.53460841100005,21.526271380001223,25319,27850,27850,2717,30.591954433000012,0.19614681200002337,0.4756205029999876,0.016471867999996448,2.995078167999992,1342914508
combined,split,4096,41,2,44.61669633700001,0.48205912499997794,0.3236497809998582,2.2736864209999794,1.7364961739052223,2.1851429553232435,3718962176,65235352,,-0.8763137486294889,0,0,0,16384,4af0a68226382bca,4095,37.3674318599999,21.51886794887888,25319,27850,27850,2726,30.476841922999938,0.1906021449999571,0.43141121899998325,0.017151954999917507,2.995711402999973,1342914508
combined,split,4096,41,3,44.29326534400002,0.39716139200004363,0.3054761619996498,2.2786248100001103,1.7412108767243852,2.1676618116806576,3718962176,65329880,,-0.871249918497332,0,0,0,16384,4af0a68226382bca,4095,37.46812073700062,21.518427915800007,25319,27850,27850,2782,30.364249024999936,0.19180291000020588,0.447297128999935,0.01693113400006041,3.008694285000047,1342914508
combined,split,4096,41,4,45.66280951899989,0.4976515399998789,0.34474260599972695,2.9887678609998147,1.7335939542954684,2.549427432520357,3718962176,65287040,,-0.8687501747503261,0,0,0,16384,4af0a68226382bca,4095,37.319699634999324,21.527359127279624,25319,27850,27850,2796,30.04709942599993,0.1909280149998267,0.45763652899995577,0.020390000000134023,3.098992212000212,1342914508
combined,split,4096,41,5,45.371375403,0.5221754770000189,0.398766065000018,2.912731550999979,1.7313415588093164,2.5787506412111463,3718962176,65204552,,-0.8714635716650274,0,0,0,16384,4af0a68226382bca,4095,37.269775290000325,21.526529586473746,25319,27850,27850,2726,30.40416435399993,0.19680398600030458,0.4335618989998693,0.03239460599979793,2.9847292399999787,1342914508
