algorithm,timing,ranks,partition_seed,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,seed_lower_seconds,candidate_upper_seconds,net_gain_lower_seconds,correction_seconds,search_timed_out,search_skipped,mapping_moved_nodes,mapping_predicted_gain_seconds,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,partition_node_mapping_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
baseline,natural,8192,41,1,18.36208350999999,6.626858563999974,6.352065614000026,,1.4790015232709393,2.2904586215471436,3228418048,39805180184,0.6026598191904191,,27916,27916,0,8.748732166999957,5.915296251792482,,5.895401617999994,10.562613813000041,8.749529398999982,,0,0,0,0,0,0,0,0,10.03728949429627,10.03728949429627,0,0,0,0,7.2801e-05,0,0,0,-7.2801e-05,3.0890170270000112,0.38900083700002597,0.04183011500003886,0.003902143999994223,0.0732904569999846,0.4201712681119644,7.951855421999994,0.06486699757095776,0.7752988369999798,0.24879584411738317,0.05284944599998198,0.42959335929965164
baseline,natural,8192,41,2,17.95876289199998,6.535728334999931,6.254110802000014,,1.5155184766720209,2.2904586215471436,3228418048,39805180184,0.6031572515997338,,27916,27916,0,8.960694966999881,5.912626671947266,,5.874423182999976,9.834339319999913,8.96136723699999,,0,0,0,0,0,0,0,0,10.027606775554998,10.027606775554998,0,0,0,0,7.4601e-05,0,0,0,-7.4601e-05,3.059219804999998,0.3971242100000154,0.04102146599996104,0.003397219000021323,0.07441348699990158,0.41939821532554633,8.490767607999942,0.06409541949205957,0.7722620730000926,0.25014340294600845,0.05178230800015626,0.432121824146162
baseline,natural,8192,41,3,18.588481569000123,6.620113096000068,6.344387367999843,,1.5050477467331607,2.2904586215471436,3228418048,39805180184,0.5969742417050816,,27916,27916,0,8.903915902000108,5.9160355020808115,,5.937166158000309,10.712217409999766,8.90466593200017,,0,0,0,0,0,0,0,0,10.396822276037105,10.396822276037105,0,0,0,0,7.5221e-05,0,0,0,-7.5221e-05,3.0295520399999987,0.38618033400007334,0.04173903700007031,0.003400317999876279,0.09160806200020488,0.4204804317937165,8.479849635999926,0.06469726274759138,0.7873773929998151,0.24945804873340213,0.05634913500011862,0.4315065325046409
baseline,natural,8192,41,4,18.271651928999972,6.523444443000017,6.247043692000034,,1.508795494149779,2.2904586215471436,3228418048,39805180184,0.6012815257309116,,27916,27916,0,8.92257823199975,5.913709489852176,,5.9077371839998705,10.790056438000192,8.923428362999857,,0,0,0,0,0,0,0,0,10.03728949429627,10.03728949429627,0,0,0,0,7.3921e-05,0,0,0,-7.3921e-05,2.979990386000054,0.39148773800002346,0.04104467199999817,0.0034113389999674837,0.07435536699995282,0.41814761827515806,8.348295753999992,0.06487386796884197,0.7859295990001556,0.25037172560377696,0.05858523599977161,0.43094808357122033
baseline,natural,8192,41,5,18.098506783000175,6.6339558730001045,6.349818806000258,,1.4807249490944725,2.2904586215471436,3228418048,39805180184,0.6016184947492283,,27916,27916,0,8.759788776999358,5.915878423171264,,5.948606516000382,10.022510345000228,8.76058742799978,,0,0,0,0,0,0,0,0,10.027606775554998,10.027606775554998,0,0,0,0,7.4561e-05,0,0,0,-7.4561e-05,3.0993446580000636,0.395006014000046,0.04071020699984729,0.0034137189995817607,0.09225431000004392,0.41998181368202464,8.094373081999947,0.06390730256654081,0.7746443599999111,0.24825546043407515,0.07123411099973964,0.43258174129668325
baseline,split,8192,41,1,18.660591957000065,6.766154193000034,6.322278869999991,10.892500886999983,1.4906195237574735,2.2904586215471436,3228418048,39805180184,0.6031010293806363,-0.2825984739940759,27916,27916,0,8.815658347999943,5.914090220539917,5.326510100562745,6.148741866000023,10.892287953999926,8.816513078999947,-0.966450165846743,0,0,0,0,0,0,0,0,10.03728949429627,10.03728949429627,0,0,0,0,7.0141e-05,0,0,0,-7.0141e-05,2.9593358079999916,0.39180848999990303,0.041689613000016834,0.003514839999979813,0.07375213400007397,0.41987779980477635,8.017170145000023,0.06480385927250773,0.7828677400000288,0.25023508054529403,0.07490796899992347,0.42994100500435534
baseline,split,8192,41,2,18.444588051999972,6.83959586900005,6.262471445000074,10.164513456000122,1.4971928752844108,2.2904586215471436,3228418048,39805180184,0.6033431189420797,-0.29440492084547276,27916,27916,0,8.853657659000191,5.913505070158931,4.759362330931518,6.127181155000017,10.164416984000127,8.854940916000032,-0.9661981036473068,0,0,0,0,0,0,0,0,10.027606775554998,10.027606775554998,0,0,0,0,7.3881e-05,0,0,0,-7.3881e-05,2.999672471000167,0.3911867899998924,0.041070429999990665,0.00341043899993565,0.07152270200003841,0.41958237629659856,8.043977403000099,0.06396666366690686,0.7801580770001237,0.24974143951856104,0.06341554199980237,0.4301381612051731
baseline,split,8192,41,3,19.166617521000035,7.035121642999911,6.420723286999873,11.27082996099989,1.4617589485949427,2.2904586215471436,3228418048,39805180184,0.5980754406025849,-0.2893382039892589,27916,27916,0,8.648616891000302,5.9165821418869635,5.3367942896321985,6.224735089999967,11.270810412999936,8.64943793999987,-0.9684971480877578,0,0,0,0,0,0,0,0,10.396822276037105,10.396822276037105,0,0,0,0,7.4081e-05,0,0,0,-7.4081e-05,3.0794854109999505,0.3964611149999655,0.04067804800001795,0.0034004990000084945,0.07367172499994012,0.42201907110447817,7.868839764000086,0.06466261854777654,0.7970108940000955,0.24887017513716805,0.0559468819999438,0.4309051898765767
baseline,split,8192,41,4,18.805479485999967,6.802655692999906,6.301872672999707,11.142436766000174,1.4714705199904385,2.2904586215471436,3228418048,39805180184,0.6023085724640871,-0.2890345277068062,27916,27916,0,8.704836126999908,5.915739397250358,5.123588517313594,6.151239624000027,11.142329703999621,8.7057748000002,-0.9658510641459279,0,0,0,0,0,0,0,0,10.03728949429627,10.03728949429627,0,0,0,0,7.4581e-05,0,0,0,-7.4581e-05,3.129618526000286,0.39031417999967744,0.04177191100006894,0.003927406999991945,0.07293456099978357,0.4196938104706424,7.918576266999935,0.06476075289583155,0.782417961000192,0.25037766682920315,0.058605623000403284,0.42889543140925046
baseline,split,8192,41,5,18.212365757000043,6.976555262000147,6.403649677999965,9.975630450000153,1.478003508703384,2.2904586215471436,3228418048,39805180184,0.6016570044412924,-0.29243023522269984,27916,27916,0,8.744296387998475,5.9162893298336146,4.726471898603393,6.102667461000237,9.975519673000235,8.745073156999752,-0.9673573903908743,0,0,0,0,0,0,0,0,10.027606775554998,10.027606775554998,0,0,0,0,7.1821e-05,0,0,0,-7.1821e-05,3.0047739110000293,0.3932275329998447,0.04148151599974881,0.0034188590002486308,0.07496193899987702,0.41869690403626664,7.949226512999758,0.06392757067646095,0.774994708000122,0.2484862327828459,0.06280538900000465,0.43366203206133863
combined,natural,8192,41,1,13.341665757999976,0.9462045619999913,0.433996642000011,,1.4744028410181549,2.2904586215471436,3228418048,65852696,0.5990159882197501,,27916,27916,0,8.682885932000033,5.889086544355837,,0.044066229000009116,5.8369856989999676,8.683523220999973,,1,0,0,0,0,0,0,0,10.03728949429627,7.350752606490962,0,0,0,0,0.000226182,0,0,511,2.686310705805307,3.0794083050000154,0.3969823680000104,0.040988285000025826,0.00345639899995831,0.020114226999965013,0.2516623995623204,8.006177132999994,0.06046859953934408,0.7836806859999683,0.22975102606527859,0.0341416940000272,0.21845801040778504
combined,natural,8192,41,2,13.53705026900002,1.0114195029999564,0.47295451700006197,,1.478209321897921,2.2904586215471436,3228418048,65852696,0.5991803097913225,,27916,27916,0,8.707683863999932,5.890697437098998,,0.04581379199998992,5.9778140130000565,8.708301312000003,,1,0,0,0,0,0,0,0,10.027606775554998,7.350752606490962,0,0,0,0,0.000239623,0,0,512,2.676614546064036,3.0394911600000114,0.3887665749999769,0.04124012900001617,0.003930803999992349,0.03643434200012052,0.25198897950903953,8.061808845999963,0.060374380088486806,0.7949484600000005,0.22903540725764437,0.035194945999933225,0.21660720695615834
combined,natural,8192,41,3,13.362065141999892,0.918008650000047,0.4161621829998694,,1.4629648541514815,2.2904586215471436,3228418048,65852696,0.5976053000196031,,27916,27916,0,8.616856601000336,5.8899956321904305,,0.035046670999918206,5.756111344000146,8.617461349999985,,1,0,0,0,0,0,0,0,10.396822276037105,7.350752606490962,0,0,0,0,0.000237823,0,0,510,3.0458318465461423,3.1495070490000217,0.3905411229998208,0.04090530700000272,0.0035543009998946218,0.0355158909999318,0.25226957499839003,8.080189590999908,0.06030240777991905,0.7839604870000585,0.2304175177744336,0.033388905999800045,0.21747295494966898
combined,natural,8192,41,4,13.40677281100011,0.8537108769999122,0.4285397120002017,,1.4765070086925256,2.2904586215471436,3228418048,65852696,0.5991937404103703,,27916,27916,0,8.696584806999908,5.889971910597902,,0.04521429600004012,5.895037278000018,8.69762503800007,,1,0,0,0,0,0,0,0,10.03728949429627,7.350752606490962,0,0,0,0,0.000230243,0,0,511,2.686306644805307,3.049803014999952,0.38961139200000616,0.041667189000008875,0.0035644219999539928,0.04159756900003231,0.2505306591363635,7.9370578400000795,0.06040793030905914,0.7931388490001154,0.22873907812076583,0.03866773900017506,0.21386100973940722
combined,natural,8192,41,5,13.322497518999626,0.9250354430000698,0.4518320480001421,,1.4597681146325914,2.2904586215471436,3228418048,65852696,0.6016693754302029,,27916,27916,0,8.595808261000002,5.888475145357917,,0.04079138699989926,5.778945660000318,8.596390406999944,,1,0,0,0,0,0,0,0,10.027606775554998,7.350752606490962,0,0,0,0,0.000259363,0,0,512,2.676594806064036,3.0794555229999787,0.3983542910000324,0.0416074770000705,0.0036867019998680917,0.03583129900016502,0.25204707055602477,7.829115659000308,0.060251567449234864,0.7848367430001417,0.2303680931635855,0.04095349800036274,0.21846525599536648
