rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
115,cn5103,37.619660418,8067,12694,26411,16427,12694,3733,51883,31232,263104,9832,5,2718,7194,19466,19371,60089,31232,282475,267.15625,0,1
116,cn5104,37.628643962,8067,12694,26411,16427,12694,3733,62559,32768,324928,8505,7,5370,3261,16760,16805,69636,32768,341733,270.3359375,0,1
117,cn5105,37.634749433,8067,12694,26411,16427,12694,3733,54751,32768,277952,11128,6,5859,5353,22032,21932,63987,32768,299884,268.22265625,0,1
118,cn5106,37.627437706,8067,12694,26411,16427,12694,3733,55333,31744,283136,10824,9,3047,7825,21420,21377,64291,31744,304513,287.00390625,0,1
119,cn5107,37.62827591,8067,12694,26411,16427,12694,3733,52455,33280,263616,11264,8,882,10432,22222,22289,61717,33280,285905,291.79296875,0,1
120,cn5108,37.658607626,8067,12694,26411,16427,12694,3733,72861,39424,376448,9929,8,7054,2960,19301,19345,81225,39424,395793,293.0859375,0,1
121,cn5109,37.649046354,8067,12694,26411,16427,12694,3733,61329,35328,313472,11702,11,4364,7483,22931,23009,71328,35328,336481,290.5078125,0,1
122,cn5110,37.672911421,8067,12694,26411,16427,12694,3733,105199,53760,548416,3689,6,820,2871,6912,6930,108245,53760,555346,350.41796875,0,1
123,cn5111,37.673978069,8067,12694,26411,16427,12694,3733,107215,53760,560448,3689,3,0,3689,6940,6944,110322,53760,567392,350.11328125,0,1
124,cn5112,37.62312154,8067,12694,26411,16427,12694,3733,74913,45568,379136,4289,5,2254,2038,8252,8299,78469,45568,387435,291.21484375,0,1
125,cn5113,37.640897232,8067,12694,26411,16427,12694,3733,75973,43008,389632,6489,4,2417,4105,12776,12641,81550,43008,402273,264.890625,0,1
126,cn5114,37.642944512,8067,12694,26411,16427,12694,3733,70723,39936,362816,10033,7,2718,7346,19643,19688,79242,39936,382504,294.9140625,0,1
127,cn5115,37.613906157,8067,12694,26411,16427,12694,3733,72339,41472,369984,4289,3,0,4289,8261,8267,75895,41472,378251,264.25390625,0,1
