rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
181,cn4516,34.80453784,8067,12694,26411,18116,12694,5422,47561,26624,244096,2857,6,1210,1648,5449,5394,50117,26624,249490,242.73046875,1,1
182,cn4517,34.810760079,8067,12694,26411,18116,12694,5422,33019,22528,163136,9119,15,925,8213,18091,18005,41098,22528,181141,243.43359375,1,1
183,cn4518,34.8107989,8067,12694,26411,18116,12694,5422,50981,26624,264832,3233,4,0,3233,6166,6160,53740,26624,270992,269.80078125,1,1
184,cn4519,34.760752078,8067,12694,26411,18116,12694,5422,34357,18432,177664,3833,3,3881,17,7554,7519,37511,18432,185183,228,1,1
185,cn4520,34.763300436,8067,12694,26411,18116,12694,5422,31877,19456,161280,4721,3,2488,2265,9353,9339,35703,19456,170619,221.65625,1,1
186,cn4521,34.802983993,8067,12694,26411,18116,12694,5422,38072,24576,190272,5874,8,2827,3097,11360,11390,43035,24576,201662,242.625,1,1
187,cn4522,34.807462971,8067,12694,26411,18116,12694,5422,39215,24576,197312,6233,5,0,6233,12135,12130,44440,24576,209442,243.0625,1,1
188,cn4523,34.807778439,8067,12694,26411,18116,12694,5422,39715,24576,200256,5122,6,2656,2466,9782,9792,44011,24576,210048,242.31640625,1,1
189,cn4524,34.79469919,8067,12694,26411,18116,12694,5422,30683,20480,152512,5961,3,3293,2687,11598,11664,35634,20480,164176,222.07421875,1,1
190,cn4525,34.75799415,8067,12694,26411,18116,12694,5422,41789,24576,212736,5177,2,2958,2250,10132,10131,46017,24576,222867,221.984375,1,1
191,cn4526,34.739990574,8067,12694,26411,18116,12694,5422,33611,19456,171584,3969,3,0,3969,7840,7789,36908,19456,179373,222.1484375,1,1
192,cn4527,34.757263168,8067,12694,26411,18116,12694,5422,36191,22016,183104,3201,4,3204,32,6255,6176,38933,22016,189280,241.00390625,1,1
193,cn9940,34.783566908,8067,12694,26411,18116,12694,5422,35249,22528,176640,8352,14,6978,1521,16524,16480,42405,22528,193120,244.16796875,1,1
194,cn9941,34.754839084,8067,12694,26411,18116,12694,5422,31405,20480,156800,3881,4,1938,1992,7504,7498,34632,20480,164298,221.8828125,1,1
195,cn9942,34.797446016,8067,12694,26411,18116,12694,5422,48001,30720,240384,7017,9,4579,2587,13615,13677,54029,30720,254061,246.75,1,1
196,cn9943,34.760501237,8067,12694,26411,18116,12694,5422,28791,18944,143424,5489,8,3860,1754,10779,10817,33481,18944,154241,241.515625,1,1
197,cn9944,34.78625974,8067,12694,26411,18116,12694,5422,32551,23040,159808,9944,9,6070,4057,19894,19916,40719,23040,179724,244.69921875,1,1
198,cn9945,34.779342435,8067,12694,26411,18116,12694,5422,32291,24064,156608,8760,10,4876,4000,17292,17396,39486,24064,174004,248.6875,1,1
199,cn9946,34.751077855,8067,12694,26411,18116,12694,5422,35339,22528,177216,3577,6,830,2778,7003,7004,38309,22528,184220,241.32421875,1,1
200,cn9947,34.783972853,8067,12694,26411,18116,12694,5422,40101,23552,204160,5913,8,5957,109,11606,11628,45082,23552,215788,242.62890625,1,1
201,cn9948,34.785786748,8067,12694,26411,18116,12694,5422,30565,22016,149376,9087,11,7461,1894,18103,18176,38272,22016,167552,242.71875,1,1
202,cn9949,34.760975011,8067,12694,26411,18116,12694,5422,28301,18432,141312,6257,10,2866,3487,12363,12367,33750,18432,153679,247.734375,1,1
203,cn9950,34.78598358,8067,12694,26411,18116,12694,5422,25415,16896,126272,6857,10,1241,5636,13801,13677,31336,16896,139949,257.40625,1,1
204,cn9951,34.787611006,8067,12694,26411,18116,12694,5422,35511,24576,175040,9408,16,4080,5460,18579,18579,43651,24576,193619,250.8828125,1,1
205,cn9952,34.782196078,8067,12694,26411,18116,12694,5422,36477,22016,184832,8112,12,3551,4630,15950,15938,43580,22016,200770,251.64453125,1,1
206,cn9953,34.778672826,8067,12694,26411,18116,12694,5422,51235,26624,266304,2841,4,1364,1479,5407,5396,53651,26624,271700,261.0546875,1,1
207,cn9954,34.828425455,8067,12694,26411,18116,12694,5422,50337,27136,260224,2977,5,710,2282,5676,5667,52828,27136,265891,294.640625,1,1
208,cn9955,34.790908474,8067,12694,26411,18116,12694,5422,30065,19456,150400,7537,11,7512,175,14989,15006,36388,19456,165406,241.1328125,1,1
209,cn9956,34.754502154,8067,12694,26411,18116,12694,5422,29595,18944,148160,5369,7,3372,2143,10605,10591,34137,18944,158751,241.203125,1,1
210,cn9957,34.775603569,8067,12694,26411,18116,12694,5422,36667,24064,182848,7121,11,6539,714,14041,14013,42753,24064,196861,243.06640625,1,1
211,cn9958,34.777765788,8067,12694,26411,18116,12694,5422,32105,22016,158592,8545,13,4336,4373,17091,17022,39458,22016,175614,242.1796875,1,1
212,cn9959,34.770123191,8067,12694,26411,18116,12694,5422,32433,21504,161280,7224,8,4134,3170,14128,14204,38480,21504,175484,241.203125,1,1
213,cn9960,34.752609881,8067,12694,26411,18116,12694,5422,38137,23552,192384,3081,6,0,3081,5924,5888,40690,23552,198272,243.08984375,1,1
214,cn9961,34.774738222,8067,12694,26411,18116,12694,5422,32025,23040,156544,8488,10,2536,6017,16748,16808,39048,23040,173352,242.83203125,1,1
215,cn9962,34.779412895,8067,12694,26411,18116,12694,5422,25583,17408,126528,6648,11,2018,4707,13184,13092,31292,17408,139620,250.8984375,1,1
216,cn9963,34.771696434,8067,12694,26411,18116,12694,5422,44813,26624,227712,2569,5,2585,17,4908,4872,47023,26624,232584,242.09375,1,1
217,cn9964,34.779908398,8067,12694,26411,18116,12694,5422,34191,24576,167104,8144,12,5713,2620,15999,16003,41191,24576,183107,249.30078125,1,1
218,cn9965,34.777238313,8067,12694,26411,18116,12694,5422,31537,21504,156032,7824,11,4363,3621,15521,15549,38191,21504,171581,241.88671875,1,1
219,cn9966,34.774392021,8067,12694,26411,18116,12694,5422,29113,18944,145408,8137,8,2926,5322,16270,16242,36141,18944,161650,241.62890625,1,1
220,cn9967,34.770818043,8067,12694,26411,18116,12694,5422,31313,21504,154624,6816,10,3059,3852,13486,13376,37185,21504,168000,241.30859375,1,1
221,cn9968,34.778684987,8067,12694,26411,18116,12694,5422,31755,22528,155712,8216,14,169,8080,16202,16245,38536,22528,171957,241.88671875,1,1
222,cn9969,34.790270428,8067,12694,26411,18116,12694,5422,52249,28160,269952,4393,8,1318,3079,8469,8515,56026,28160,278467,272.0625,1,1
223,cn9970,34.776109688,8067,12694,26411,18116,12694,5422,47067,26112,242112,3489,7,0,3489,6661,6689,50189,26112,248801,251.27734375,1,1
224,cn9971,34.778126477,8067,12694,26411,18116,12694,5422,34709,23040,172672,8384,10,8456,128,16490,16562,41827,23040,189234,250.37890625,1,1
225,cn9972,34.77038875,8067,12694,26411,18116,12694,5422,35379,23040,176576,7648,11,2359,5386,14987,15043,41758,23040,191619,243.20703125,1,1
226,cn9973,34.772557353,8067,12694,26411,18116,12694,5422,52299,26112,273472,2329,5,1603,728,4376,4371,54270,26112,277843,269.06640625,1,1
