algorithm,timing,ranks,repeat,stage,mean_seconds,max_seconds,calls_sum
baseline,natural,1024,5,part_face_create,0.023721255271486275,0.04955393099999128,1024
baseline,natural,1024,5,partition_cost_balance,3.112963964824189e-05,0.0318767509997997,1
baseline,natural,1024,5,partition_cost_setup,0.00038560419921918054,0.3948587000004409,1
baseline,natural,1024,5,partition_distribution,1.6905019245126907,1.7475674620000063,1024
baseline,natural,1024,5,submesh_initialization,0.00012994749510975012,0.0002587439998933405,1024
baseline,natural,1024,5,surface_refine,0.010309750941406737,0.032796925000184274,1024
baseline,natural,1024,5,vertex_count_allgather,3.8963835171523384,7.442866547999984,1024
baseline,natural,1024,5,vertex_exchange,0.01896111756737895,0.03738606099977915,1024
baseline,natural,1024,5,vertex_exchange_prepare,0.00034815034374835463,0.0011355360002198722,1024
baseline,natural,1024,5,vertex_exchange_unpack,0.009685318108398455,0.029360168000039266,1024
baseline,natural,1024,5,vertex_numbering_local,0.05884289438086254,0.11176543700003094,1024
baseline,natural,1024,5,volume_exchange_pack,0.9585596187382834,1.4788771770004132,1024
baseline,natural,1024,5,volume_exchange_unpack,1.009024516055665,1.9299799719997281,1024
baseline,natural,1024,5,volume_payload_exchange,0.05202003821972845,0.08766723400003684,1024
baseline,natural,1024,5,volume_payload_prepare,0.006327289490234644,0.014467373000115913,1024
baseline,natural,1024,5,volume_refine,3.0227874949541156,4.158974707000198,1024
baseline,natural,1024,5,volume_size_exchange,0.5559279108798902,0.9737252019999687,1024
baseline,split,1024,1,adjacency_build,0.00904576478222996,0.01806648599995242,1024
baseline,split,1024,1,element_count_allgather,0.000397955708005604,0.0038063749998400453,1024
baseline,split,1024,1,element_count_pre_collective_wait,0.0033505529921815658,0.00587003900000127,1024
baseline,split,1024,1,face_allgatherv,0.40142852356055636,0.7041085079999903,1024
baseline,split,1024,1,face_collective_setup,0.00016158559862589073,0.0007431089998135576,1024
baseline,split,1024,1,face_global_merge,0.08860292967285321,0.12189214399995763,1024
baseline,split,1024,1,face_local_extract,0.1752969326474636,0.21945115500011525,1024
baseline,split,1024,1,face_map_setup,0.00819807860743138,0.018099304999850574,1024
baseline,split,1024,1,face_pipeline_total,0.7304148170390596,1.0204258690000643,1024
baseline,split,1024,1,face_pre_collective_wait,0.051349212833009084,0.22415314899990335,1024
baseline,split,1024,1,local_volume_mesh,7.610815873342773,10.92520662700008,1024
