algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
sparse,natural,8192,1,13.01814032600032,0.7602965450000738,0.4826062490001277,,1.6704656297618088,2.4651436516174496,3225937920,65856952,0.1075239733230735,,27897,27897,0,8.556196608999926,5.1220428942437755,,0.0448018659999434,6.612317967999843,8.556797939999797,,0,0,0,0,0,0,0,0,0,0,0,2.9171294339998894,0.38634257300009267,0.03348010600029738,0.04078168400019422,,7.823007248000067,,0.8311204319998069,,0.043041899999934685,
sparse,natural,8192,2,12.96605418099989,0.7420965739997882,0.4714002799996706,,1.676043668283898,2.4651436516174496,3225937920,65856952,0.1061706244012083,,27897,27897,0,8.583249248000357,5.121137002825678,,0.01592502699986653,6.501517851999779,8.583839476999856,,0,0,0,0,0,0,0,0,0,0,0,2.883060846999797,0.38970788799997536,0.03386125399993034,0.019751739999719575,,7.7262357970002995,,0.8256239060001462,,0.04962507799973537,
sparse,natural,8192,3,13.135256244000175,0.8018026200002168,0.4667084550005711,,1.6833299371686652,2.4651436516174496,3225937920,65856952,0.10743776375091658,,27897,27897,0,8.622897681999802,5.122523809267827,,0.0402622789997622,6.814147306999985,8.62355313099988,,0,0,0,0,0,0,0,0,0,0,0,2.9852563220001684,0.38919580099991435,0.03388385300013397,0.030499035000502772,,7.770102852000036,,0.8214311269998689,,0.03927313600024718,
sparse,natural,8192,4,12.91735225399998,0.7028730289998748,0.4541899559999365,,1.666513620146667,2.4651436516174496,3225937920,65856952,0.10750185410052727,,27897,27897,0,8.537436093999986,5.122932084556633,,0.03628296099986983,6.680664906999937,8.53816910500018,,0,0,0,0,0,0,0,0,0,0,0,2.8566011060001983,0.38254931199981,0.03410033599993767,0.020494874000178243,,7.727830276000077,,0.824773069999992,,0.04053738799984785,
sparse,natural,8192,5,13.061843556999975,0.7552199700003257,0.4751906440001221,,1.6679293027087596,2.4651436516174496,3225937920,65856952,0.10772776050483748,,27897,27897,0,8.541891613000189,5.121255198963134,,0.04610277000028873,6.607286670000121,8.542466221000268,,0,0,0,0,0,0,0,0,0,0,0,2.9397666290001325,0.38503293600024335,0.0339826939998602,0.02962361099980626,,7.697444562999863,,0.8287472080000953,,0.049620902000242495,
sparse,split,8192,1,13.199836620000042,0.8379429659999005,0.5077423380007531,6.641528130000097,1.677804696219743,2.4651436516174496,3225937920,65856952,0.10717569988108128,-0.9999990772468292,27897,27897,0,8.593982843000504,5.122159249144779,3.471848011768065,0.04911257200001273,6.641247392999958,8.594615429999976,0.0029091573505170693,0,0,0,0,0,0,0,0,0,0,0,2.907689412000309,0.38873513800035653,0.03298506400005863,0.021229269999821554,,7.76067748100013,,0.8287932220000584,,0.03361720699967918,
sparse,split,8192,2,13.025193389999913,0.7414250580000044,0.47363575599956675,6.495733297000243,1.6769872458086468,2.4651436516174496,3225937920,65856952,0.10644084605936656,-0.9999999555737906,27897,27897,0,8.587500841999827,5.120790789234008,3.466965676141604,0.016695343999344914,6.495467183000073,8.588082828999632,-0.03239975321052744,0,0,0,0,0,0,0,0,0,0,0,2.845434763999947,0.38788314699968396,0.03420645699998204,0.019710883000243484,,7.737909469999977,,0.8350943690002168,,0.029697410999688145,
sparse,split,8192,3,13.14949677200002,0.8520120639996094,0.4914549289997012,6.478649716000291,1.656553259538395,2.4651436516174496,3225937920,65856952,0.10673367563928712,-0.999999244163856,27897,27897,0,8.482028443999752,5.120287195814822,3.3617893567786847,0.03859515499971167,6.478523456000403,8.482640532000005,-0.008371312938438479,0,0,0,0,0,0,0,0,0,0,0,2.963599494000391,0.38828511099973184,0.03398673499987126,0.02035461999957988,,7.6820938259998,,0.825496782999835,,0.04353939500015258,
sparse,split,8192,4,13.060564596999939,0.7828679399999601,0.48279221100028735,6.7258788740000455,1.6641184380268987,2.4651436516174496,3225937920,65856952,0.10846718146237154,-0.9999995474826229,27897,27897,0,8.521818782999617,5.1209208360816625,3.4011935257984627,0.026350636000188388,6.725763984999503,8.522423591999996,-0.0019586838890494006,0,0,0,0,0,0,0,0,0,0,0,2.950595318000069,0.3915642229999321,0.03317412599972158,0.031092654000076436,,7.719632771999841,,0.8220190249999177,,0.03040992800015374,
sparse,split,8192,5,13.127515191999919,0.858632469999975,0.48903387500013196,6.53927344900012,1.6661169144281749,2.4651436516174496,3225937920,65856952,0.10657391192989119,-0.9999996315632597,27897,27897,0,8.532548928000779,5.12121859763318,3.4114436486107187,0.032678901000053884,6.538971867999862,8.533204635999937,-0.020605469530041148,0,0,0,0,0,0,0,0,0,0,0,2.9092559140003686,0.3857407229997989,0.03365025099992636,0.0197831500004213,,7.677991650999957,,0.8295451089998096,,0.03834732099994653,
