algorithm,timing,ranks,partition_seed,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,task_count_median,active_workers_median,compute_max_seconds_median,compute_mean_seconds_median,task_cross_node_faces_before_median,task_cross_node_faces_after_median,task_cross_node_faces_limit_median,task_moved_between_nodes_median,task_completion_wait_max_seconds_median,task_dispatch_max_seconds_median,task_geometry_setup_max_seconds_median,task_merge_max_seconds_median,metis_partition_max_seconds_median,task_control_receive_bytes_median,speedup_vs_baseline,speedup_vs_sparse,adoption_rate,skipped_runs,rejection_counts
combined,split,1024,41,5,117.47094955399984,0.02769962886321853,0.30322955599967827,0.23951719499996216,9.16733372800013,2.584108391312141,2.1780941070802653,3718962176,31065440,,-0.29867303162818026,0,0,0,16384,1023,102.05767794700023,39.51846318607722,15206,16726,16726,793,84.95810341200013,0.1438838820008641,0.43880896199993913,0.05957610299992666,2.9518362329999945,336121804,0.9000323791151301,0.8963076908184807,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
combined,split,2048,41,5,74.218629072,0.045548786620645564,0.3839239250000901,0.2584745099999992,3.693037461000003,1.548816755985654,1.5549759224009918,3718962176,44330160,,-0.7179628553139769,0,0,0,16384,2047,66.02908979800122,42.63968271561015,19938,21931,21931,1594,55.25499590300001,0.15330734799982793,0.4832042600000932,0.02402991200000315,2.9985016709999854,671719372,0.788100696837943,0.7746415274421982,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
combined,split,4096,41,5,44.61669633700001,0.014391063946068578,0.48205912499997794,0.3236497809998582,2.2786248100001103,1.7364961739052223,2.1851429553232435,3718962176,65235352,,-0.8714635716650274,0,0,0,16384,4095,37.3674318599999,21.526271380001223,25319,27850,27850,2726,30.40416435399993,0.19180291000020588,0.447297128999935,0.017151954999917507,2.995711402999973,1342914508,0.8227079751433725,0.762293562708167,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
combined,split,8192,41,5,20.765079374000152,0.009199261899276404,0.46036604100004297,0.35161959199967896,1.6173548110000127,1.2842866603561638,2.432698505616638,3718962176,97526184,,0.04663891251165157,0,0,0,16384,8191,13.701464963000035,10.665375608546567,31046,34131,34150,9469,6.6718710009999995,0.2789035309998553,0.49533952100000533,0.011783550000018295,3.051703808000184,2685304780,1.3794932099737864,1.0842320571714186,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,1024,41,5,104.91205054500006,0.003960412594525271,0.3278682749999575,0.2648749999999609,,2.3757600919537167,1.2139526444057063,3718962176,27244336,,,0,0,0,16384,1023,94.09275663100004,39.591051918598204,15206,15206,16726,0,67.08975841700021,0.4378457909999156,0.45485827700008485,0.03194664600005126,2.9733207219996984,336121804,1.0070021235805018,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,2048,41,5,57.50582706899968,0.0034663790869803733,0.304489165999712,0.2511256030002187,,1.1856919796011962,1.3731156377321543,3718962176,37126936,,,0,0,0,16384,2047,50.37347346099841,42.499906545876385,19938,19938,21931,0,35.513764058000106,0.7930068919990845,0.4373446539999577,0.017657717000020057,2.9749029730000984,671719372,1.0144529546893233,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,4096,41,5,33.85057776100001,0.0066745522478212655,0.3429503840000052,0.3069855810003901,,1.2947397783748948,1.8439787003630983,3718962176,53020576,,,0,0,0,16384,4095,27.812462667000148,21.476095923414643,25319,25319,27850,0,20.881238194999696,1.2346155640000234,0.49945169400007217,0.01174181999999746,3.0516914659999657,1342914508,1.0841400518806368,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,natural,8192,41,5,22.85498849600026,0.011322820577002329,0.3968370170000526,0.32418874899985894,,1.5702515333682867,2.0233013996644638,3718962176,77426384,,,0,0,0,16384,8191,16.825028443000065,10.716523911899033,31046,31046,34150,0,14.247953171999825,1.7419883479999498,0.503554069999609,0.007835287999967022,3.0445081530001517,2685304780,1.2434573596032876,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,split,1024,41,5,105.29011553299983,0.003871024586222938,0.37750791700000264,0.27625367099994946,5.770426224999937,2.392856129829602,1.2139526444057063,3718962176,27244336,,-0.1468406412866624,0,0,0,16384,1023,94.74160837100021,39.592972422261006,15206,15206,16726,0,67.66862215800006,0.4331990039995617,0.4377754019999429,0.03462491499999487,2.9541770430000724,336121804,1.0041555911377353,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,split,2048,41,5,57.49283218900001,0.00440602587661085,0.30922233100000085,0.2603829229999519,2.955442101000017,1.1853836143228755,1.3731156377321543,3718962176,37126936,,-0.22910180920036854,0,0,0,16384,2047,50.345820171999776,42.49948493167465,19938,19938,21931,0,35.406705843000054,0.790658601999894,0.46832631000006586,0.01840072799996051,2.9924384450000616,671719372,1.0173747067759018,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,split,4096,41,5,34.01102040700016,0.0014841910975901661,0.3396889739999551,0.2996395920000623,1.7152146169999867,1.2980644133546295,1.8439787003630983,3718962176,53020576,,-0.3049404516897519,0,0,0,16384,4095,27.8831855479998,21.4801926854989,25319,25319,27850,0,21.074580884,1.2997082789997876,0.5067790179996337,0.011166352999993023,3.0582986849999543,1342914508,1.0792534731902679,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
sparse,split,8192,41,5,22.51416472699998,0.011842039864238672,0.4425225640000008,0.3454361560002326,0.9586616689998664,1.5805721213997792,2.0233013996644638,3718962176,77426384,,-0.31192457811271435,0,0,0,16384,8191,16.942277724999713,10.722667936659866,31046,31046,34150,0,13.95497707300001,1.531844660000388,0.49850307200000543,0.00757504500001005,3.0162029409999604,2685304780,1.2723228397919306,1.0,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
