algorithm	timing	repeat	exit_code	directory	partition_seed
baseline	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_natural/repeat_3	41
balance	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_natural/repeat_3	41
sparse	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_natural/repeat_3	41
combined	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_split/repeat_3	41
baseline	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_split/repeat_3	41
balance	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_split/repeat_3	41
sparse	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_split/repeat_3	41
baseline	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_natural/repeat_4	41
balance	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_natural/repeat_4	41
sparse	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_natural/repeat_4	41
combined	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_natural/repeat_4	41
baseline	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_split/repeat_4	41
balance	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_split/repeat_4	41
sparse	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_split/repeat_4	41
combined	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_split/repeat_4	41
balance	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_natural/repeat_5	41
sparse	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_natural/repeat_5	41
combined	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_natural/repeat_5	41
baseline	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_natural/repeat_5	41
balance	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_split/repeat_5	41
sparse	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_split/repeat_5	41
combined	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_split/repeat_5	41
baseline	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_split/repeat_5	41
